time_s,bvp_raw,observed,interpolated_roi
0.0,nan,False,False
0.033333299999999996,nan,False,False
0.06666659999999999,nan,False,False
0.09999989999999999,nan,False,False
0.13333319999999999,nan,True,False
0.1666665,nan,True,False
0.19999979999999998,nan,True,False
0.2333331,nan,True,False
0.26666639999999997,nan,True,False
0.2999997,nan,True,False
0.333333,nan,True,False
0.3666663,nan,True,False
0.39999959999999996,nan,True,False
0.43333289999999997,nan,True,False
0.4666662,nan,True,False
0.4999995,nan,True,False
0.5333327999999999,nan,True,False
0.5666661,nan,True,False
0.5999994,nan,True,False
0.6333327,nan,True,False
0.666666,nan,True,False
0.6999993,nan,True,False
0.7333326,nan,True,False
0.7666659,nan,True,False
0.7999991999999999,nan,True,False
0.8333324999999999,nan,True,False
0.8666657999999999,nan,True,False
0.8999990999999999,nan,True,False
0.9333324,nan,True,False
0.9666657,nan,True,False
0.999999,nan,True,False
1.0333322999999999,nan,True,False
1.0666655999999999,nan,True,False
1.0999989,nan,True,False
1.1333322,nan,True,False
1.1666655,nan,True,False
1.1999988,nan,True,False
1.2333321,nan,True,False
1.2666654,nan,True,False
1.2999987,nan,True,False
1.333332,nan,True,False
1.3666653,nan,True,False
1.3999986,nan,True,False
1.4333319,nan,True,False
1.4666652,nan,True,False
1.4999985,nan,True,False
1.5333318,nan,True,False
1.5666650999999998,nan,True,False
1.5999983999999998,nan,True,False
1.6333316999999998,nan,True,False
1.6666649999999998,nan,True,False
1.6999982999999999,nan,True,False
1.7333315999999999,nan,True,False
1.7666648999999999,nan,True,False
1.7999981999999999,nan,True,False
1.8333315,nan,True,False
1.8666648,nan,True,False
1.8999981,nan,True,False
1.9333314,nan,True,False
1.9666647,nan,True,False
1.999998,nan,True,False
2.0333313,nan,True,False
2.0666645999999997,nan,True,False
2.0999979,nan,True,False
2.1333311999999998,nan,True,False
2.1666645,nan,True,False
2.1999978,nan,True,False
2.2333311,nan,True,False
2.2666644,nan,True,False
2.2999977,nan,True,False
2.333331,nan,True,False
2.3666643,nan,True,False
2.3999976,nan,True,False
2.4333309,nan,True,False
2.4666642,nan,True,False
2.4999975,nan,True,False
2.5333308,nan,True,False
