time_s,window_start_s,window_end_s,accepted,status,spectral_peak_bpm,ridge_bpm,roi_count,quality_proxy,state,available_roi_count,method_agreement,motion_overlap,consensus_score,runner_up_ratio,candidate_group_count,waveform_roi_count,waveform_generated
5.0,0.0,10.0,False,insufficient_rois,,,0,0.0,searching,0,0.0,0.0,0.0,0.0,0,0,False
6.0,1.0,11.0,False,insufficient_rois,,,0,0.0,searching,0,0.0,0.0,0.0,0.0,0,0,False
7.0,2.0,12.0,True,accepted_consensus,72.0,72.0,3,0.9006375206531344,acquired,3,1.0,1.0,2.026434421469552,0.0,1,3,True
8.0,3.0,13.0,True,accepted_consensus,72.0,72.0,3,0.9055363906548166,tracking,3,1.0,1.0,2.0374568789733374,0.0,1,3,True
9.0,4.0,14.0,True,accepted_consensus,72.0,72.0,3,0.9149974981261785,tracking,3,1.0,1.0,2.0587443707839013,0.0,1,3,True
10.0,5.0,15.0,True,accepted_consensus,72.0,72.0,3,0.9220752290974702,tracking,3,1.0,0.9947668534521658,2.078288281570804,0.0,1,3,True
11.0,6.0,16.0,True,accepted_consensus,72.0,72.0,3,0.9233061599979875,tracking,3,1.0,1.0,2.077438859995472,0.0,1,3,True
12.0,7.0,17.0,True,accepted_consensus,72.0,72.0,3,0.9219911217279931,tracking,3,1.0,1.0,2.0744800238879844,0.0,1,3,True
13.0,8.0,18.0,True,accepted_consensus,72.0,72.0,3,0.9167533795017886,tracking,3,1.0,1.0,2.062695103879024,0.0,1,3,True
14.0,9.0,19.0,False,insufficient_rois,,,0,0.0,uncertain,0,0.0,0.0,0.0,0.0,0,0,False
15.0,10.0,20.0,False,insufficient_rois,,,0,0.0,lost,0,0.0,0.0,0.0,0.0,0,0,False
