window_index,time_s,window_start_s,window_end_s,accepted,ridge_bpm,raw_estimate_bpm,status,hr_source,aggregation_mode,eligible_patches,eligible_regions,contributing_patches,contributing_regions,waveform_generated,selected_channels_json,region_medians_json,estimate_near_contributor_peak,region_median_spread_bpm,selected_cluster_score
0,4.999995,0.0,9.99999,False,,,insufficient_regions,spatial_aggregation_of_saved_patch_BVP,psd_cluster,0,0,0,0,False,[],{},False,,
1,5.999994,0.999999,10.999989,False,,,insufficient_regions,spatial_aggregation_of_saved_patch_BVP,psd_cluster,0,0,0,0,False,[],{},False,,
2,6.999993,1.999998,11.999988,False,,,insufficient_regions,spatial_aggregation_of_saved_patch_BVP,psd_cluster,0,0,0,0,False,[],{},False,,
3,7.999992,2.999997,12.999986999999999,True,185.5,185.5,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,2,2,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos""]","{""forehead"": 185.0, ""left_cheek"": 186.0}",True,1.0,0.19587479070549388
4,8.999991,3.999996,13.999986,True,184.0,184.0,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,2,2,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos""]","{""forehead"": 184.0, ""left_cheek"": 184.0}",True,0.0,0.1983529642932178
5,9.99999,4.999995,14.999984999999999,True,183.0,183.0,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,2,2,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos""]","{""forehead"": 183.0, ""left_cheek"": 183.0}",True,0.0,0.21124408565910338
6,10.999989,5.999994,15.999984,True,183.0,183.0,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,3,3,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""forehead"": 183.0, ""left_cheek"": 183.0, ""right_cheek"": 92.0}",True,91.0,0.2659203090324144
7,11.999988,6.999993,16.999983,True,183.5,183.5,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,2,2,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos""]","{""forehead"": 184.0, ""left_cheek"": 183.0}",True,1.0,0.19497959442051652
8,12.999986999999999,7.999992,17.999982,True,185.0,185.0,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,2,2,True,"[""baseline/forehead/pos"", ""baseline/left_cheek/pos""]","{""forehead"": 186.0, ""left_cheek"": 184.0}",True,2.0,0.17779213361237678
9,13.999986,8.999991,18.999981,True,93.0,93.0,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,2,2,True,"[""baseline/forehead/chrom"", ""baseline/right_cheek/pos""]","{""forehead"": 94.0, ""right_cheek"": 92.0}",True,2.0,0.12493975403699444
