row,frame,time_s,field,expected,actual,missingness_equal,absolute_difference,matches_contract,finite_numeric_differences_diagnostic_only
0,0,0.0,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
1,1,0.0341715547367139,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
2,2,0.0683431094734279,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
3,3,0.1025146642101419,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
4,4,0.1366862189468559,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
5,5,0.1708577736835698,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
6,6,0.2050293284202838,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
7,7,0.2392008831569978,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
8,8,0.2733724378937118,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
9,9,0.3075439926304258,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
10,10,0.3417155473671397,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
11,11,0.3758871021038537,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
12,12,0.4100586568405677,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
13,13,0.4442302115772817,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
14,14,0.4784017663139956,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
15,15,0.5125733210507096,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
16,16,0.5467448757874237,forehead_pixel_fb_rejected,16.0,16.0,True,,True,False
17,17,0.5809164305241377,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
18,18,0.6150879852608516,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
19,19,0.6492595399975656,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
20,20,0.6834310947342795,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
21,21,0.7176026494709935,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
22,22,0.7517742042077075,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
23,23,0.7859457589444215,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
24,24,0.8201173136811355,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
25,25,0.8542888684178495,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
26,26,0.8884604231545634,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
27,27,0.9226319778912774,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
28,28,0.9568035326279912,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
29,29,0.9909750873647054,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
30,30,1.0251466421014193,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
31,31,1.059318196838133,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
32,32,1.0934897515748474,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
33,33,1.1276613063115613,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
34,34,1.161832861048275,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
35,35,1.1960044157849892,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
36,36,1.2301759705217032,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
37,37,1.264347525258417,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
38,38,1.2985190799951312,forehead_pixel_fb_rejected,0.0,0.0,True,,True,False
