frame,time_s,source,rgb_valid,r,g,b,motion_x,motion_y,face_x0,face_y0,face_x1,face_y1
0,0.0,mesh,True,188.83333333333334,143.66666666666666,139.0,,,0.4746465969085693,0.4263237863779068,0.6453020095825195,0.6801511919498444
1,0.03417155473671398,mesh,True,188.66666666666666,143.5,139.0,-0.00011448065439860026,-2.6981035868326822e-06,0.4718061006069183,0.4275341421365738,0.6442885899543762,0.6797549974918364
2,0.06834310947342796,mesh,True,188.66666666666666,143.33333333333334,139.0,-0.00012928247451782227,-7.510582605997721e-05,0.4728783667087555,0.42750861346721647,0.6452160239219665,0.6792917931079864
3,0.10251466421014194,mesh,True,188.5,143.33333333333334,139.0,-1.9343694051106772e-05,-0.0001150210698445638,0.4716975915431976,0.42728757917881016,0.6445234501361847,0.6794437289237976
4,0.13668621894685593,mesh,True,188.5,143.33333333333334,139.0,3.871917724609375e-05,-0.00010842680931091308,0.4727675968408585,0.4274311864376068,0.645439327955246,0.6792265367507934
5,0.17085777368356989,mesh,True,188.5,143.33333333333334,139.0,3.8894017537434894e-05,-1.5439589818318686e-05,0.4714572310447693,0.4270804452896118,0.6445911169052124,0.679352558851242
6,0.20502932842028387,mesh,True,188.0,143.33333333333334,138.66666666666666,1.1793772379557292e-05,1.3430913289388022e-06,0.47287781655788425,0.4273835450410843,0.6454415762424469,0.6791747522354126
7,0.23920088315699783,mesh,True,188.66666666666666,143.0,138.66666666666666,-4.2255719502766924e-05,7.408459981282552e-05,0.4718245339393616,0.4271868151426315,0.644688891172409,0.6790640628337861
8,0.27337243789371185,mesh,True,189.33333333333334,143.5,139.33333333333334,0.00011192162831624349,0.0001980602741241455,0.4731241285800934,0.4277579569816589,0.6450884222984314,0.678934473991394
9,0.3075439926304258,mesh,True,188.5,143.33333333333334,139.33333333333334,0.00014279683430989582,0.00012809236844380696,0.47177079260349275,0.42770193636417386,0.6449611926078797,0.6790396177768707
10,0.34171554736713977,mesh,True,187.66666666666666,142.5,138.0,7.64926274617513e-05,0.00018369754155476888,0.4728240287303924,0.4283045208454132,0.6454122078418731,0.6791473984718323
11,0.37588710210385373,mesh,True,188.66666666666666,143.16666666666666,139.33333333333334,7.95443852742513e-05,0.0001146097977956136,0.47225698828697205,0.42808449625968936,0.6453330266475678,0.6793616545200347
12,0.41005865684056775,mesh,True,187.66666666666666,143.0,138.33333333333334,9.373029073079427e-05,4.2273600896199545e-05,0.47290504693984986,0.428185413479805,0.6455878567695618,0.67960186958313
13,0.4442302115772817,mesh,True,188.66666666666666,143.5,139.66666666666666,9.17832056681315e-05,3.695885340372722e-05,0.47238913893699647,0.42814934492111206,0.6454296064376831,0.6794236683845519
14,0.47840176631399567,mesh,True,187.66666666666666,143.0,138.66666666666666,2.4016698201497396e-05,8.649031321207682e-05,0.4730167299509048,0.42827466666698455,0.6456807053089142,0.6795551013946532
15,0.5125733210507096,mesh,True,188.66666666666666,144.0,139.33333333333334,-4.753271738688151e-05,0.00015234549840291342,0.47272706031799316,0.42802830398082736,0.6456099081039428,0.6794742274284362
16,0.5467448757874237,mesh,True,187.66666666666666,143.0,139.0,-0.000119781494140625,0.0004836102326711019,0.47212759315967556,0.4293588924407959,0.6445160055160523,0.6799692320823669
17,0.5809164305241377,mesh,True,187.66666666666666,143.0,138.66666666666666,-3.478527069091797e-05,0.0005915403366088867,0.4720196270942688,0.4292687302827835,0.6445990049839019,0.6802139616012574
18,0.6150879852608516,mesh,True,187.83333333333334,143.0,139.0,-0.00013068517049153646,-0.0002415140469868978,0.47158925354480746,0.4290389043092728,0.6455757117271423,0.6801991271972656
19,0.6492595399975656,mesh,True,187.5,142.66666666666666,139.33333333333334,2.5184949239095054e-05,-0.00023727615674336752,0.4717482739686966,0.42894872069358825,0.6451996850967407,0.6801686501502991
20,0.6834310947342795,mesh,True,187.66666666666666,143.0,139.0,-8.739630381266276e-05,-0.0001276989777882894,0.47183829843997954,0.4289240407943726,0.6450233602523804,0.6801196610927582
21,0.7176026494709935,mesh,True,187.5,143.0,139.0,-0.00013874371846516926,-0.0001281619071960449,0.47181589901447296,0.42923324823379516,0.644554214477539,0.6800086581707
22,0.7517742042077075,mesh,True,187.66666666666666,143.0,139.33333333333334,-0.0001455386479695638,-5.636413892110189e-05,0.4717297983169556,0.4292124974727631,0.6441909658908844,0.6797720837593079
23,0.7859457589444215,mesh,True,188.0,143.0,138.66666666666666,-0.00013324419657389323,5.038579305013021e-06,0.47183321058750155,0.4292970770597458,0.6441017019748687,0.6798521173000335
24,0.8201173136811355,mesh,True,187.66666666666666,143.0,139.33333333333334,-6.729761759440104e-05,-3.821055094401042e-05,0.47206387579441067,0.4293340867757797,0.6438680136203766,0.6799044227600098
25,0.8542888684178495,mesh,True,188.0,143.0,139.33333333333334,-8.505980173746744e-05,-7.027387619018555e-05,0.471658353805542,0.4290564274787903,0.6440700256824494,0.6796405375003814
26,0.8884604231545634,mesh,True,187.66666666666666,142.66666666666666,139.0,-6.642341613769532e-05,-0.00011129975318908691,0.4719901764392853,0.4288305604457855,0.6443976414203644,0.6798227250576019
27,0.9226319778912774,mesh,True,187.66666666666666,143.0,139.0,-8.947849273681641e-05,-0.00011680920918782552,0.47163884043693544,0.42868727147579194,0.6442738330364227,0.6798725748062133
28,0.9568035326279913,mesh,True,187.5,142.66666666666666,139.0,-0.00012156963348388671,-0.00012393593788146974,0.47181450486183163,0.42858782231807707,0.6443600821495056,0.679565349817276
29,0.9909750873647054,mesh,True,187.66666666666666,142.5,139.0,-7.355213165283203e-05,-0.00011866490046183268,0.4716193807125092,0.4283685600757599,0.6444773769378662,0.6797158586978912
30,1.0251466421014193,mesh,True,187.33333333333334,142.66666666666666,139.0,-4.5347213745117185e-05,-8.107821146647135e-05,0.471839502453804,0.4281733030080795,0.6442328298091888,0.6796469688415527
31,1.0593181968381333,mesh,True,188.0,142.66666666666666,139.0,1.0776519775390626e-05,5.533297856648763e-06,0.47166059851646425,0.428207796216011,0.6442894470691681,0.6794721853733062
32,1.0934897515748474,mesh,True,187.33333333333334,142.33333333333334,139.33333333333334,4.1556358337402346e-05,-3.830591837565104e-05,0.47171110749244693,0.4282704001665116,0.6443432426452637,0.6795705437660218
33,1.1276613063115613,mesh,True,189.16666666666666,143.5,140.0,3.062884012858073e-05,-4.868904749552409e-05,0.4718904799222946,0.4281339764595032,0.6444762337207794,0.6794427323341369
34,1.1618328610482753,mesh,True,189.0,143.16666666666666,140.33333333333334,1.9057591756184897e-05,-3.99629275004069e-05,0.4718741017580032,0.42795638680458065,0.6445641982555389,0.6795408427715302
35,1.1960044157849892,mesh,True,188.66666666666666,143.33333333333334,140.0,-6.775856018066406e-05,3.382762273152669e-05,0.47196086823940275,0.42806702077388764,0.6444162714481354,0.6795858800411224
36,1.2301759705217032,mesh,True,187.66666666666666,142.66666666666666,139.0,-6.012121836344401e-05,0.000109100341796875,0.4714014905691147,0.4281823474168778,0.6445628213882446,0.679498883485794
37,1.264347525258417,mesh,True,187.83333333333334,143.33333333333334,139.66666666666666,-6.167093912760417e-06,0.00011559724807739258,0.4714975637197495,0.4282213038206101,0.644286640882492,0.6796929359436035
38,1.2985190799951312,mesh,True,188.0,143.0,139.33333333333334,1.6903877258300783e-05,5.093018213907878e-05,0.471800577044487,0.4283802223205566,0.6443826019763946,0.6799913609027862
39,1.3326906347318452,mesh,True,188.33333333333334,143.0,139.66666666666666,5.666414896647135e-05,0.00012049873669942221,0.47179222285747524,0.4283160936832428,0.6444314420223236,0.6797591781616211
40,1.366862189468559,mesh,True,188.33333333333334,143.33333333333334,139.33333333333334,8.534590403238932e-05,0.00014428595701853434,0.47195448994636535,0.42856581807136535,0.6447809684276581,0.6801302909851075
41,1.4010337442052732,mesh,True,188.16666666666666,143.33333333333334,139.5,4.913012186686198e-05,4.867712656656901e-06,0.4716695719957352,0.4286192750930786,0.6446082901954651,0.6799711680412293
42,1.435205298941987,mesh,True,188.0,142.66666666666666,139.33333333333334,-4.599889119466146e-05,-0.00015203952789306642,0.47183907091617583,0.4285110580921173,0.6447914457321167,0.6799853610992431
43,1.469376853678701,mesh,True,188.0,142.66666666666666,139.33333333333334,-0.00020139217376708985,-0.000276796023050944,0.4715463000535965,0.4283302569389343,0.6445562863349914,0.6795892357826233
44,1.503548408415415,mesh,True,189.0,143.66666666666666,141.0,-0.0002246975898742676,-0.00018855730692545573,0.47144977867603305,0.42802614390850063,0.6443993926048279,0.6795114552974701
45,1.537719963152129,mesh,True,189.33333333333334,143.83333333333334,141.0,-0.0001478433609008789,-8.806387583414714e-05,0.471302958726883,0.42800834000110627,0.6443342864513397,0.6794950473308563
46,1.571891517888843,mesh,True,189.33333333333334,143.33333333333334,141.0,-5.0512949625651043e-05,-9.426772594451904e-05,0.47158936083316805,0.4279804968833923,0.6441421175003053,0.6793788290023804
47,1.606063072625557,mesh,True,189.0,143.0,140.16666666666666,7.5658162434895836e-06,-0.00013850828011830648,0.4712838506698608,0.4278112256526947,0.6439860391616821,0.6791913974285125
48,1.640234627362271,mesh,True,189.33333333333334,143.66666666666666,140.66666666666666,2.994537353515625e-05,-6.351669629414877e-05,0.47156052350997923,0.4276175320148468,0.6440429759025574,0.6790664255619049
