time_s,observed_fraction,interpolated_fraction,spectral_peak_bpm,peak_concentration,accepted,status,ridge_bpm,reference_bpm
5.006132768928598,1.0,0.0,,,False,gap_or_filter_edge,,98.15305666666667
5.997107856293304,1.0,0.0,,,False,gap_or_filter_edge,,98.45274161073826
6.988082943658008,1.0,0.0,74.0,0.22954356569189407,True,candidate_only,102.0,98.73350511945392
7.9790580310227135,1.0,0.0,74.0,0.23841742385592038,True,candidate_only,103.0,99.11957876712329
8.97003311838742,1.0,0.0,74.0,0.18580306034475444,True,candidate_only,104.0,99.61536394557824
9.961008205752124,1.0,0.0,108.0,0.23586498061341396,True,candidate_only,105.0,100.08391003460207
10.95198329311683,1.0,0.0,107.0,0.24731652927002407,True,candidate_only,106.0,100.65603448275863
11.942958380481535,1.0,0.0,106.0,0.21870806319623057,True,candidate_only,106.0,101.44263698630137
12.933933467846241,1.0,0.0,106.0,0.15221155131867314,True,candidate_only,106.0,102.42164383561644
13.924908555210946,1.0,0.0,57.0,0.22131909845757425,True,candidate_only,106.0,103.39487889273356
14.91588364257565,1.0,0.0,57.0,0.22315408260228167,True,candidate_only,107.0,104.34437931034482
15.906858729940357,1.0,0.0,52.0,0.14840500233809203,True,candidate_only,107.0,105.13449826989618
16.897833817305063,1.0,0.0,50.0,0.1508678038823557,True,candidate_only,107.0,105.89071428571428
17.888808904669766,1.0,0.0,48.0,0.23320672299321052,True,candidate_only,107.0,106.68351351351352
18.879783992034472,1.0,0.0,48.0,0.29392973701176484,True,candidate_only,107.0,107.43363321799308
19.87075907939918,1.0,0.0,48.0,0.30661468876090103,True,candidate_only,107.0,108.0838566552901
20.861734166763885,1.0,0.0,107.0,0.27954705386569195,True,candidate_only,108.0,108.52327645051194
21.852709254128587,1.0,0.0,109.0,0.34672873109325086,True,candidate_only,109.0,108.66525597269624
22.843684341493294,1.0,0.0,110.0,0.4206126184088566,True,candidate_only,110.0,108.80904436860068
23.834659428858,1.0,0.0,110.0,0.44109749460545117,True,candidate_only,111.0,108.8616554054054
24.825634516222706,1.0,0.0,112.0,0.37438410618412477,True,candidate_only,112.0,108.99338983050848
25.81660960358741,1.0,0.0,114.0,0.24601223241652825,True,candidate_only,114.0,109.26230508474576
26.807584690952115,1.0,0.0,116.0,0.1919423672348351,True,candidate_only,115.0,109.62544827586206
27.79855977831682,1.0,0.0,118.0,0.24433634123713524,True,candidate_only,116.0,110.07192439862543
28.789534865681528,1.0,0.0,119.0,0.293191695741347,True,candidate_only,116.0,110.36340067340068
29.78050995304623,1.0,0.0,117.0,0.2725099312736329,True,candidate_only,115.0,110.76840677966102
30.771485040410937,1.0,0.0,114.0,0.24305881908225144,True,candidate_only,113.0,111.15268041237114
31.762460127775643,1.0,0.0,131.0,0.16807625385120287,True,candidate_only,111.0,111.45334470989762
32.75343521514035,1.0,0.0,107.0,0.17115937480673854,True,candidate_only,108.0,111.60079037800688
33.74441030250505,1.0,0.0,105.0,0.14670010659396593,True,candidate_only,106.0,111.61453608247423
34.735385389869755,1.0,0.0,159.0,0.19589356473194755,True,candidate_only,105.0,111.55910034602077
35.726360477234465,1.0,0.0,104.0,0.18225475671492194,True,candidate_only,104.0,111.34045138888888
36.71733556459917,1.0,0.0,103.0,0.22143393239750864,True,candidate_only,104.0,111.03477508650519
37.70831065196388,1.0,0.0,104.0,0.24588054804887846,True,candidate_only,105.0,110.50711805555555
38.69928573932858,1.0,0.0,105.0,0.2385051334700755,True,candidate_only,106.0,109.99671280276816
39.69026082669328,1.0,0.0,109.0,0.20968531162126772,True,candidate_only,108.0,109.4828125
40.68123591405799,1.0,0.0,112.0,0.21018649472639395,True,candidate_only,110.0,109.06030927835052
41.672211001422696,1.0,0.0,112.0,0.21817663838774695,True,candidate_only,111.0,108.93356401384082
42.6631860887874,1.0,0.0,57.0,0.27960207778357227,True,candidate_only,111.0,108.84810996563574
43.65416117615211,1.0,0.0,57.0,0.2448854112590477,True,candidate_only,110.0,108.86450511945392
44.64513626351681,1.0,0.0,139.0,0.20729741896074222,True,candidate_only,109.0,109.1179180887372
45.63611135088152,1.0,0.0,138.0,0.20366552319811942,True,candidate_only,109.0,109.46672354948805
46.627086438246224,1.0,0.0,,,False,gap_or_filter_edge,,109.84479865771812
47.618061525610926,1.0,0.0,,,False,gap_or_filter_edge,,110.22811447811448
